alias	category	description	keywords
6352-1.mpd	Technic	A yellow crane model with a worker figure on top, a worker figure on the ground, and a red and yellow base.	crane, yellow, worker, base, model
6353-1.mpd	Vehicles	A large blue and white ship with a smaller boat and a person in a yellow outfit standing nearby.	ship, boat, person, yellow outfit, large boat
6354-1.mpd	Vehicles	A model of a helicopter with a pilot and a medical vehicle nearby.	helicopter, medical vehicle, pilot, emergency, transport
6355-1.mpd	City / Town	A small house with a red roof and a blue door, a lawn mower in front, and a small tree to the right.	house, red roof, blue door, lawn mower, tree
6356-1.mpd	Vehicles	A LEGO model of an ambulance helicopter with a patient on a stretcher.	ambulance helicopter, patient stretcher, LEGO model, medical vehicle, emergency transport
6357-1.mpd	Technic	A LEGO model of a construction vehicle with a crane and a worker figure.	LEGO, construction vehicle, crane, worker, model
6361-1.mpd	Technic	A yellow and blue construction vehicle with a crane, resembling a crane truck.	crane truck, construction vehicle, yellow crane, blue body, construction equipment
6362-1.mpd	City / Town	A small LEGO store with a blue roof and red walls, featuring a LEGO figure standing outside.	LEGO store, blue roof, red walls, LEGO figure, outside
6363-1.mpd	City / Town	A LEGO model of a small building with a yellow and red vehicle parked outside.	LEGO, building, yellow vehicle, red vehicle, small building
6364-1.mpd	City / Town	A small LEGO house with a red roof and a chimney, a LEGO character standing outside, and a LEGO snowman in front of the house.	LEGO, house, red roof, chimney, snowman
6365-1.mpd	Everyday Life / Interior	A small, colorful dollhouse-style house with a red roof and yellow walls.	dollhouse, house, red roof, yellow walls, miniature
6368-1.mpd	Technic	A LEGO model of an airplane with a pilot figure standing next to it.	LEGO, airplane, pilot, model, technic
6369-1.mpd	City / Town	A small LEGO model of a building with a red and white facade, featuring a counter and a small figure standing on a pedestal.	LEGO, building, counter, red, white
6370-1.mpd	City / Town	A small, colorful house with a bicycle, a person, and a Christmas tree in front of it.	house, bicycle, person, Christmas tree, front yard
6372-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a modular house with a red roof, a yellow door, and a small garden with flowers.	dollhouse, house, red roof, yellow door, garden
6373-1.mpd	City / Town	A LEGO model of a train station with a yellow train, a police officer, a motorcycle, and a mailbox.	LEGO, train station, yellow train, police officer, motorcycle
6374-1.mpd	City / Town	A miniature town scene with a red-roofed house, a fire truck, a police car, and a fire hydrant.	miniature town, red-roofed house, fire truck, police car, fire hydrant
6375-1.mpd	Technic	A LEGO model of an airplane with a red and white color scheme, featuring a cargo hold and a small vehicle next to it.	LEGO, airplane, cargo hold, cargo vehicle, cargo plane
6376-1.mpd	Everyday Life / Interior	A detailed dollhouse-style build featuring a modern house with a balcony, palm tree, and various furniture and accessories.	dollhouse, house, balcony, palm tree, furniture
6378-1.mpd	City / Town	A LEGO model of a gas station with a red roof, a fuel pump, a car, and a worker.	gas station, LEGO, fuel pump, car, worker
6379-1.mpd	Vehicles	A LEGO model of a horse and rider in an equestrian setting with a stable and obstacles.	LEGO, horse, rider, stable, equestrian
6380-1.mpd	City / Town	A LEGO model of a fire station with firefighters, an ambulance, and a tree in front.	fire station, firefighters, ambulance, tree, LEGO
6381-1.mpd	Technic	A model of a race car with a driver and a race track setup.	race car, driver, track, model, technic
6382-1.mpd	City / Town	A LEGO fire station with a red building, a fire truck, and a firefighter.	fire station, fire truck, firefighter, red building, LEGO
6384-1.mpd	Technic	A detailed model of a building with various mechanical components and people working around it.	building, mechanical components, people, work, model
6386-1.mpd	Technic	A detailed model of a fire station with firefighters, vehicles, and equipment.	fire station, firefighters, vehicles, equipment, model
6388-1.mpd	City / Town	A LEGO model of a small town with a fire station, ambulance, and a house with a red roof.	fire station, ambulance, house, red roof, LEGO
6389-1.mpd	City / Town	A LEGO model of a fire station with a fire truck, firefighters, and a helicopter.	fire station, fire truck, firefighters, helicopter, LEGO
6392-1.mpd	Technic	A detailed model of an aircraft with a red and white color scheme, featuring a jet engine and landing gear.	aircraft, jet, red, white, model
6396-1.mpd	Technic	A detailed model of an airport with a helipad, a control tower, and various vehicles.	airport, helipad, control tower, vehicles, model
6397-1.mpd	City / Town	A LEGO model of a fire station with firefighters and a fire truck.	fire station, fire truck, firefighters, LEGO, city
6398-1.mpd	Technic	A detailed model of a building with various mechanical components and a helicopter attached to it.	building, mechanical components, helicopter, model, construction
6399-1.mpd	Trains	A detailed model of a train layout with multiple tracks and platforms.	train layout, tracks, platforms, model, railway
6400-1.mpd	Technic	A LEGO Go-Kart with a driver wearing a helmet and a red shirt.	LEGO, Go-Kart, driver, helmet, red shirt
6402-1.mpd	City / Town	A LEGO model depicting a snowy scene with a bicycle, a child, and a snowman.	LEGO, bicycle, child, snowman, winter
6406-1.mpd	Technic	A LEGO Go-Kart with a driver wearing a helmet and a red shirt.	LEGO, Go-Kart, driver, helmet, red shirt
6414-1.mpd	Nautical / Submarine	Isometric view of a lighthouse on a small island with a sailboat and a palm tree nearby.	lighthouse, island, sailboat, palm tree, isometric
6415-1.mpd	Vehicles	A yellow and black toy jet ski with a helmet attached to it.	jet ski, yellow, black, toy, helmet
6416-1.mpd	City / Town	A miniature cityscape with a palm tree, a car, and a building with a crane.	miniature city, palm tree, car, building, crane
6428-1.mpd	Vehicles	A yellow and black toy jet ski with a helmet on top.	jet ski, yellow, black, toy, helmet
6430-1.mpd	Technic	A LEGO model of a vehicle with a worker in a space suit and tools nearby.	LEGO, vehicle, worker, space suit, tools
6431-1.mpd	Technic	A LEGO vehicle with a blue and yellow color scheme, equipped with a camera and other accessories.	LEGO, vehicle, camera, accessories, construction
6440-1.mpd	City / Town	A LEGO fire truck with a firefighter figure next to it.	fire truck, firefighter, LEGO, vehicle, emergency
6442-1.mpd	Technic	A collection of various toy vehicles and structures, including a rocket, a car, a motorcycle, and a castle-like building.	toy vehicles, rocket, castle, car, motorcycle
6445-1.mpd	Technic	A detailed model of a space rover with a transparent dome and a small astronaut figure next to it.	space rover, transparent dome, astronaut, model, technic
6450-1.mpd	Technic	A LEGO model of a space vehicle with a detailed exterior, including a cockpit, landing gear, and a fuel tank.	LEGO, space vehicle, model, technic, construction
6451-1.mpd	Vehicles	A LEGO model of a futuristic spaceship with a yellow and gray color scheme, featuring a red laser cannon on top.	futuristic spaceship, LEGO model, yellow and gray, red laser cannon, space vehicle
6462-1.mpd	Technic	A model of a helicopter with a yellow and blue color scheme, featuring a cargo area and a small vehicle attached to it.	helicopter, cargo, yellow, blue, model
6470-1.mpd	Technic	A yellow construction vehicle with a crane and a worker figure next to it.	construction vehicle, crane, worker, yellow, construction site
6472-1.mpd	City / Town	A LEGO model of a fire station with firefighters, a fire truck, and a police car.	fire station, fire truck, firefighters, police car, LEGO
6473-1.mpd	Technic	A LEGO model featuring a police vehicle, a police officer, and a police helicopter.	LEGO, police vehicle, helicopter, officer, city
6479-1.mpd	Technic	A detailed model of a construction site with cranes, trucks, and workers.	construction site, cranes, truck, workers, model
6480-1.mpd	City / Town	A LEGO fire truck with an extended ladder, a firefighter, and a small figure standing next to it.	fire truck, firefighter, LEGO, extended ladder, small figure
6481-1.mpd	City / Town	A construction site with a yellow bulldozer and a worker in a red helmet.	construction site, bulldozer, worker, red helmet, yellow
6482-1.mpd	Vehicles	A LEGO helicopter with a red and white color scheme, featuring a pilot figure and a small airplane model nearby.	helicopter, LEGO, red, white, pilot
6484-1.mpd	City / Town	A LEGO fire truck with a crane and firefighters on the scene.	fire truck, crane, firefighters, LEGO, city
6490-1.mpd	Technic	A LEGO model of a construction vehicle with a crane and a crane arm extended.	construction vehicle, crane, LEGO, extended arm, building
6501-1.mpd	Technic	A LEGO model of a vehicle with a transparent roof and a large wheel on the front.	LEGO, vehicle, transparent roof, large wheel, construction
6503-1.mpd	Technic	A LEGO model of a race car with a driver wearing a helmet and gloves.	LEGO, race car, driver, helmet, gloves
6504-1.mpd	City / Town	A LEGO construction worker in a red uniform and hard hat standing next to a blue construction vehicle with a shovel attachment.	LEGO, construction worker, blue vehicle, shovel attachment, red uniform
6505-1.mpd	Vehicles	A red LEGO vehicle with a small figure standing next to it, wearing a white hat and a yellow shirt.	LEGO, vehicle, red, white hat, yellow shirt
6506-1.mpd	Technic	A LEGO model of a vehicle with a detailed mechanical design, featuring gears, axles, and a complex structure.	LEGO, mechanical, vehicle, gears, axles
6507-1.mpd	Vehicles	A yellow construction vehicle with a red roof and a worker in a hard hat standing next to it.	construction vehicle, yellow, red roof, worker, hard hat
6508-1.mpd	Vehicles	A LEGO boat with a Santa Claus figure on board.	Santa Claus, boat, LEGO, Christmas, figure
6509-1.mpd	Technic	A red race car model with the number 3 on the front, featuring a driver in a helmet and gloves, and a detailed design with a red roof and yellow accents.	red race car, number 3, driver, helmet, gloves
6511-1.mpd	Technic	A LEGO model of a fire truck with a ladder extended, featuring realistic mechanical details.	fire truck, lego, ladder, realistic, mechanic
6512-1.mpd	Technic	A yellow and black construction vehicle with a worker figure next to it.	construction vehicle, worker figure, yellow, black, lego
6514-1.mpd	Technic	A LEGO model of a construction vehicle with a worker character in front, wearing a red helmet and green overalls.	LEGO, construction vehicle, worker, red helmet, green overalls
6515-1.mpd	Technic	A model helicopter with a red and white body, green tail, and a red propeller.	helicopter, red, white, green, propeller
6516-1.mpd	Technic	A model of a moon rover with a space suit astronaut figure on top, featuring a helmet, spacesuit, and control panel.	moon rover, space suit, astronaut, control panel, rover
6517-1.mpd	Vehicles	A toy snowmobile with a red, white, and blue design, featuring a small figure in a yellow jacket and blue helmet.	snowmobile, toy, red, white, blue
